t	x	y
8.608000e-1	-1.389804e-1	7.511930e-2
8.610000e-1	-1.366544e-1	7.579671e-2
8.612000e-1	-1.396973e-1	7.489650e-2
8.614000e-1	-1.378805e-1	7.450838e-2
8.616000e-1	-1.396270e-1	7.131951e-2
8.618000e-1	-1.375591e-1	7.143932e-2
8.620000e-1	-1.399807e-1	6.902668e-2
8.622000e-1	-1.367017e-1	7.205996e-2
8.624000e-1	-1.400481e-1	7.266274e-2
8.626000e-1	-1.366320e-1	7.607191e-2
8.628000e-1	-1.400303e-1	7.719971e-2
8.630000e-1	-1.369133e-1	7.980046e-2
8.632000e-1	-1.388729e-1	7.678828e-2
8.634000e-1	-1.378065e-1	7.509289e-2
8.636000e-1	-1.369158e-1	7.313911e-2
8.638000e-1	-1.387063e-1	6.998219e-2
8.640000e-1	-1.357286e-1	7.222133e-2
8.642000e-1	-1.391484e-1	7.397351e-2
8.644000e-1	-1.358450e-1	7.707287e-2
8.646000e-1	-1.388211e-1	7.594854e-2
8.648000e-1	-1.355023e-1	7.909020e-2
8.650000e-1	-1.389209e-1	8.066165e-2
8.652000e-1	-1.358347e-1	8.318160e-2
8.654000e-1	-1.379104e-1	8.029022e-2
8.656000e-1	-1.363704e-1	7.938222e-2
8.658000e-1	-1.369685e-1	7.605280e-2
8.660000e-1	-1.367306e-1	7.330892e-2
8.662000e-1	-1.369230e-1	7.020005e-2
8.664000e-1	-1.367727e-1	6.737140e-2
8.666000e-1	-1.369265e-1	6.428981e-2
8.668000e-1	-1.368234e-1	6.141769e-2
8.670000e-1	-1.368422e-1	5.844044e-2
8.672000e-1	-1.368570e-1	5.546636e-2
8.674000e-1	-1.369530e-1	5.242789e-2
8.676000e-1	-1.365705e-1	4.983520e-2
8.678000e-1	-1.371278e-1	4.652224e-2
8.680000e-1	-1.362125e-1	4.460344e-2
8.682000e-1	-1.382560e-1	4.167667e-2
8.684000e-1	-1.355715e-1	4.318624e-2
8.686000e-1	-1.364266e-1	4.458443e-2
8.688000e-1	-1.398455e-1	4.617542e-2
8.690000e-1	-1.422645e-1	4.375822e-2
8.692000e-1	-1.427475e-1	4.047856e-2
8.694000e-1	-1.412714e-1	3.945668e-2
8.696000e-1	-1.383847e-1	4.146474e-2
8.698000e-1	-1.349655e-1	4.488269e-2
8.700000e-1	-1.320052e-1	4.707729e-2
8.702000e-1	-1.303979e-1	4.629170e-2
8.704000e-1	-1.307249e-1	4.309582e-2
8.706000e-1	-1.330160e-1	4.047980e-2
8.708000e-1	-1.364225e-1	4.173586e-2
8.710000e-1	-1.380050e-1	4.419335e-2
8.712000e-1	-1.347235e-1	4.723329e-2
8.714000e-1	-1.381216e-1	4.835838e-2
8.716000e-1	-1.353175e-1	5.016038e-2
8.718000e-1	-1.350666e-1	4.742948e-2
8.720000e-1	-1.368778e-1	4.428834e-2
8.722000e-1	-1.336814e-1	4.709953e-2
8.724000e-1	-1.369628e-1	4.726216e-2
8.726000e-1	-1.337508e-1	5.011491e-2
8.728000e-1	-1.371693e-1	5.196379e-2
8.730000e-1	-1.341241e-1	5.437690e-2
8.732000e-1	-1.358853e-1	5.119846e-2
8.734000e-1	-1.377676e-1	4.811568e-2
8.736000e-1	-1.346469e-1	5.072612e-2
8.738000e-1	-1.380622e-1	5.217063e-2
8.740000e-1	-1.351025e-1	5.436352e-2
8.742000e-1	-1.380650e-1	5.319596e-2
8.744000e-1	-1.346460e-1	5.661320e-2
8.746000e-1	-1.376866e-1	5.570492e-2
8.748000e-1	-1.346108e-1	5.819762e-2
8.750000e-1	-1.379884e-1	6.061799e-2
8.752000e-1	-1.354738e-1	6.172494e-2
8.754000e-1	-1.359869e-1	5.843125e-2
8.756000e-1	-1.377006e-1	6.105571e-2
8.758000e-1	-1.379047e-1	5.793872e-2
8.760000e-1	-1.358506e-1	5.802961e-2
8.762000e-1	-1.386206e-1	6.144955e-2
8.764000e-1	-1.361047e-1	6.255944e-2
8.766000e-1	-1.363604e-1	5.940793e-2
8.768000e-1	-1.372387e-1	5.600206e-2
8.770000e-1	-1.351426e-1	5.618093e-2
8.772000e-1	-1.381256e-1	5.953579e-2
8.774000e-1	-1.365832e-1	5.863211e-2
8.776000e-1	-1.361603e-1	5.608421e-2
8.778000e-1	-1.391071e-1	5.486830e-2
8.780000e-1	-1.385805e-1	5.244009e-2
8.782000e-1	-1.354021e-1	5.520303e-2
8.784000e-1	-1.326361e-1	5.691113e-2
8.786000e-1	-1.330404e-1	5.367143e-2
8.788000e-1	-1.364074e-1	5.445084e-2
8.790000e-1	-1.346344e-1	5.397757e-2
8.792000e-1	-1.355690e-1	5.056423e-2
8.794000e-1	-1.364342e-1	4.716046e-2
8.796000e-1	-1.347344e-1	4.654734e-2
8.798000e-1	-1.380602e-1	4.699610e-2
8.800000e-1	-1.380488e-1	4.404395e-2
8.802000e-1	-1.349651e-1	4.655717e-2
8.804000e-1	-1.322016e-1	4.825914e-2
8.806000e-1	-1.328768e-1	4.490225e-2
8.808000e-1	-1.362924e-1	4.685715e-2
8.810000e-1	-1.336680e-1	4.822259e-2
8.812000e-1	-1.365427e-1	4.679538e-2
8.814000e-1	-1.331260e-1	5.020626e-2
8.816000e-1	-1.362010e-1	4.942186e-2
8.818000e-1	-1.332757e-1	5.152724e-2
8.820000e-1	-1.362670e-1	5.487644e-2
8.822000e-1	-1.394386e-1	5.448236e-2
8.824000e-1	-1.410838e-1	5.122836e-2
8.826000e-1	-1.407303e-1	4.860417e-2
8.828000e-1	-1.386136e-1	4.882667e-2
8.830000e-1	-1.354142e-1	5.164579e-2
8.832000e-1	-1.320455e-1	5.492403e-2
8.834000e-1	-1.294553e-1	5.620833e-2
8.836000e-1	-1.284289e-1	5.445241e-2
8.838000e-1	-1.293839e-1	5.103707e-2
8.840000e-1	-1.321327e-1	4.928359e-2
8.842000e-1	-1.355138e-1	5.167699e-2
8.844000e-1	-1.336020e-1	5.147684e-2
8.846000e-1	-1.342183e-1	4.814053e-2
8.848000e-1	-1.365875e-1	4.564258e-2
8.850000e-1	-1.332924e-1	4.871953e-2
8.852000e-1	-1.366447e-1	4.937056e-2
8.854000e-1	-1.340852e-1	5.058225e-2
8.856000e-1	-1.365145e-1	4.818236e-2
8.858000e-1	-1.334301e-1	5.069739e-2
8.860000e-1	-1.368284e-1	5.292988e-2
8.862000e-1	-1.339838e-1	5.483237e-2
8.864000e-1	-1.356424e-1	5.158635e-2
8.866000e-1	-1.348608e-1	4.948172e-2
8.868000e-1	-1.337482e-1	4.785742e-2
8.870000e-1	-1.357285e-1	4.486555e-2
8.872000e-1	-1.326035e-1	4.748728e-2
8.874000e-1	-1.360003e-1	4.859372e-2
8.876000e-1	-1.325836e-1	5.200458e-2
8.878000e-1	-1.359327e-1	5.262891e-2
8.880000e-1	-1.326590e-1	5.564776e-2
8.882000e-1	-1.350636e-1	5.320689e-2
8.884000e-1	-1.330312e-1	5.325279e-2
8.886000e-1	-1.346803e-1	5.000112e-2
8.888000e-1	-1.330007e-1	4.934979e-2
8.890000e-1	-1.358501e-1	4.785270e-2
8.892000e-1	-1.329876e-1	4.980002e-2
8.894000e-1	-1.317797e-1	4.832616e-2
8.896000e-1	-1.349397e-1	5.148509e-2
8.898000e-1	-1.316130e-1	5.464797e-2
8.900000e-1	-1.348643e-1	5.464113e-2
8.902000e-1	-1.314646e-1	5.800514e-2
8.904000e-1	-1.348840e-1	5.979994e-2
8.906000e-1	-1.315420e-1	6.300482e-2
8.908000e-1	-1.345014e-1	6.182774e-2
8.910000e-1	-1.322363e-1	6.237024e-2
8.912000e-1	-1.344734e-1	5.967860e-2
8.914000e-1	-1.315052e-1	6.189335e-2
8.916000e-1	-1.348688e-1	6.440951e-2
8.918000e-1	-1.322200e-1	6.583331e-2
8.920000e-1	-1.334980e-1	6.243585e-2
8.922000e-1	-1.335237e-1	5.945289e-2
8.924000e-1	-1.309265e-1	6.075387e-2
8.926000e-1	-1.341380e-1	6.381482e-2
8.928000e-1	-1.310704e-1	6.628600e-2
8.930000e-1	-1.333974e-1	6.372298e-2
8.932000e-1	-1.327458e-1	6.144819e-2
8.934000e-1	-1.327444e-1	5.848757e-2
8.936000e-1	-1.336120e-1	5.508341e-2
8.938000e-1	-1.309693e-1	5.649249e-2
8.940000e-1	-1.334912e-1	5.985170e-2
8.942000e-1	-1.321444e-1	5.860681e-2
8.944000e-1	-1.312721e-1	5.662707e-2
8.946000e-1	-1.339943e-1	6.004474e-2
8.948000e-1	-1.322696e-1	5.947882e-2
8.950000e-1	-1.327351e-1	5.620760e-2
8.952000e-1	-1.336561e-1	5.279582e-2
8.954000e-1	-1.304556e-1	5.561779e-2
8.956000e-1	-1.336186e-1	5.518591e-2
8.958000e-1	-1.308189e-1	5.697700e-2
8.960000e-1	-1.342034e-1	5.934290e-2
8.962000e-1	-1.352717e-1	5.592301e-2
8.964000e-1	-1.328540e-1	5.680665e-2
8.966000e-1	-1.295359e-1	5.994638e-2
8.968000e-1	-1.286069e-1	5.804734e-2
8.970000e-1	-1.313216e-1	5.621324e-2
8.972000e-1	-1.313313e-1	5.324339e-2
8.974000e-1	-1.292148e-1	5.346555e-2
8.976000e-1	-1.325375e-1	5.619047e-2
8.978000e-1	-1.294186e-1	5.879632e-2
8.980000e-1	-1.322288e-1	5.719585e-2
8.982000e-1	-1.289715e-1	6.017038e-2
8.984000e-1	-1.323912e-1	6.194381e-2
8.986000e-1	-1.293582e-1	6.432536e-2
8.988000e-1	-1.313541e-1	6.134902e-2
8.990000e-1	-1.299329e-1	6.023126e-2
8.992000e-1	-1.302855e-1	5.702036e-2
8.994000e-1	-1.303791e-1	5.398374e-2
8.996000e-1	-1.299498e-1	5.144292e-2
8.998000e-1	-1.313144e-1	4.806691e-2
9.000000e-1	-1.293931e-1	4.788589e-2
9.002000e-1	-1.327565e-1	4.863237e-2
9.004000e-1	-1.328098e-1	4.562723e-2
9.006000e-1	-1.297251e-1	4.814301e-2
9.008000e-1	-1.269998e-1	4.975157e-2
9.010000e-1	-1.278129e-1	4.635767e-2
9.012000e-1	-1.311972e-1	4.872498e-2
9.014000e-1	-1.283056e-1	5.074517e-2
9.016000e-1	-1.316320e-1	5.119792e-2
9.018000e-1	-1.290999e-1	5.234562e-2
9.020000e-1	-1.276812e-1	5.122355e-2
9.022000e-1	-1.307578e-1	5.449683e-2
9.024000e-1	-1.275811e-1	5.725534e-2
9.026000e-1	-1.303794e-1	5.562404e-2
9.028000e-1	-1.280029e-1	5.641437e-2
9.030000e-1	-1.304828e-1	5.410240e-2
9.032000e-1	-1.272472e-1	5.701853e-2
9.034000e-1	-1.306501e-1	5.821382e-2
9.036000e-1	-1.272879e-1	6.147428e-2
9.038000e-1	-1.303403e-1	6.060772e-2
9.040000e-1	-1.269919e-1	6.383014e-2
9.042000e-1	-1.304061e-1	6.524616e-2
9.044000e-1	-1.272692e-1	6.789911e-2
9.046000e-1	-1.294548e-1	6.513940e-2
9.048000e-1	-1.277008e-1	6.462948e-2
9.050000e-1	-1.288530e-1	6.121365e-2
9.052000e-1	-1.278310e-1	5.945114e-2
9.054000e-1	-1.295551e-1	5.624687e-2
9.056000e-1	-1.264343e-1	5.885753e-2
9.058000e-1	-1.298229e-1	6.118790e-2
9.060000e-1	-1.265059e-1	6.432435e-2
9.062000e-1	-1.294879e-1	6.321906e-2
9.064000e-1	-1.269481e-1	6.438478e-2
9.066000e-1	-1.295850e-1	6.237825e-2
9.068000e-1	-1.262545e-1	6.555153e-2
9.070000e-1	-1.295830e-1	6.601951e-2
9.072000e-1	-1.261664e-1	6.943021e-2
9.074000e-1	-1.295512e-1	7.038998e-2
9.076000e-1	-1.263453e-1	7.322629e-2
9.078000e-1	-1.285898e-1	7.054464e-2
9.080000e-1	-1.268486e-1	7.001024e-2
9.082000e-1	-1.277657e-1	6.659893e-2
9.084000e-1	-1.271181e-1	6.431906e-2
9.086000e-1	-1.280832e-1	6.090286e-2
9.088000e-1	-1.261978e-1	6.064997e-2
9.090000e-1	-1.286179e-1	5.823482e-2
9.092000e-1	-1.252948e-1	6.138799e-2
9.094000e-1	-1.285544e-1	6.142597e-2
9.096000e-1	-1.252451e-1	6.454147e-2
9.098000e-1	-1.285950e-1	6.713636e-2
9.100000e-1	-1.266279e-1	6.704809e-2
9.102000e-1	-1.261424e-1	6.457162e-2
9.104000e-1	-1.286575e-1	6.792765e-2
9.106000e-1	-1.253232e-1	7.111156e-2
9.108000e-1	-1.287276e-1	7.233167e-2
9.110000e-1	-1.253740e-1	7.556852e-2
9.112000e-1	-1.282457e-1	7.413303e-2
9.114000e-1	-1.265605e-1	7.349243e-2
9.116000e-1	-1.279256e-1	7.011657e-2
9.118000e-1	-1.262674e-1	6.942528e-2
9.120000e-1	-1.290638e-1	6.778919e-2
9.122000e-1	-1.257570e-1	7.089807e-2
9.124000e-1	-1.291757e-1	7.273679e-2
9.126000e-1	-1.257611e-1	7.614204e-2
9.128000e-1	-1.291430e-1	7.706988e-2
9.130000e-1	-1.257236e-1	8.048834e-2
